iter	Passed	Remaining
0	159	159667
1	161	80556
2	162	53954
3	164	40890
4	166	33074
5	166	27651
6	168	23881
7	170	21098
8	171	18910
9	174	17233
10	175	15821
11	177	14625
12	179	13624
13	181	12795
14	184	12083
15	185	11390
16	186	10773
17	187	10245
18	189	9764
19	190	9330
20	191	8921
21	192	8549
22	193	8217
23	194	7904
24	195	7619
25	196	7352
26	197	7101
27	197	6872
28	199	6666
29	200	6468
30	200	6279
31	201	6100
32	202	5933
33	203	5774
34	203	5623
35	204	5480
36	205	5342
37	205	5213
38	206	5090
39	207	4970
40	207	4859
41	208	4752
42	208	4648
43	209	4551
44	210	4457
45	210	4365
46	211	4279
47	211	4196
48	212	4119
49	212	4046
50	213	3979
51	214	3916
52	215	3850
53	216	3785
54	216	3721
55	217	3659
56	217	3600
57	218	3545
58	218	3490
59	219	3438
60	220	3386
61	220	3337
62	221	3289
63	221	3243
64	222	3197
65	222	3153
66	223	3110
67	223	3068
68	224	3027
69	224	2988
70	225	2949
71	225	2912
72	226	2876
73	227	2842
74	227	2811
75	228	2779
76	229	2753
77	230	2722
78	231	2693
79	231	2662
80	232	2633
81	232	2603
82	232	2572
83	233	2544
84	233	2517
85	234	2491
86	234	2465
87	235	2441
88	236	2418
89	236	2394
90	237	2371
91	237	2348
92	238	2326
93	239	2303
94	239	2282
95	240	2262
96	240	2241
97	241	2220
98	241	2200
99	242	2185
100	243	2168
101	244	2152
102	244	2133
103	245	2115
104	246	2097
105	246	2079
106	247	2062
107	247	2045
108	248	2028
109	248	2012
110	249	1995
111	249	1979
112	250	1963
113	250	1948
114	251	1933
115	251	1918
116	252	1903
117	252	1888
118	253	1874
119	253	1860
120	254	1846
121	254	1832
122	255	1818
123	255	1806
124	256	1792
125	256	1779
126	256	1766
127	257	1754
128	258	1744
129	259	1735
130	260	1725
131	260	1714
132	261	1703
133	261	1691
134	262	1681
135	262	1669
136	263	1659
137	263	1648
138	264	1639
139	265	1629
140	265	1618
141	266	1607
142	266	1597
143	267	1587
144	267	1577
145	268	1568
146	268	1558
147	269	1548
148	269	1539
149	270	1530
150	270	1521
151	271	1512
152	271	1504
153	272	1495
154	272	1488
155	273	1480
156	274	1473
157	275	1466
158	275	1459
159	276	1451
160	276	1442
161	277	1434
162	277	1426
163	278	1418
164	278	1410
165	279	1403
166	279	1396
167	280	1388
168	280	1381
169	282	1378
170	282	1371
171	283	1364
172	283	1356
173	284	1349
174	284	1343
175	285	1336
176	285	1329
177	286	1322
178	287	1316
179	287	1310
180	288	1305
181	289	1300
182	290	1295
183	290	1289
184	291	1283
185	291	1277
186	292	1271
187	292	1265
188	293	1258
189	293	1252
190	294	1247
191	294	1241
192	295	1235
193	296	1229
194	296	1224
195	297	1218
196	297	1213
197	298	1207
198	298	1202
199	299	1196
200	299	1191
201	300	1186
202	300	1180
203	301	1175
204	301	1170
205	302	1165
206	303	1160
207	303	1156
208	304	1153
209	305	1150
210	306	1145
211	306	1141
212	307	1136
213	307	1131
214	308	1126
215	309	1121
216	309	1116
217	309	1111
218	310	1107
219	310	1102
220	311	1097
221	311	1093
222	312	1088
223	312	1084
224	313	1079
225	313	1075
226	314	1070
227	315	1066
228	315	1062
229	316	1057
230	316	1053
231	316	1049
232	317	1045
233	318	1041
234	318	1037
235	319	1033
236	320	1031
237	320	1027
238	321	1023
239	322	1019
240	322	1015
241	322	1011
242	323	1007
243	323	1003
244	324	1000
245	324	996
246	325	992
247	326	988
248	326	984
249	326	980
250	327	977
251	328	973
252	328	970
253	329	966
254	329	962
255	330	959
256	330	955
257	331	951
258	331	948
259	332	944
260	332	941
261	333	938
262	333	934
263	334	932
264	335	929
265	335	926
266	336	923
267	336	920
268	337	916
269	337	913
270	338	910
271	338	906
272	339	903
273	339	900
274	340	897
275	340	894
276	341	891
277	341	887
278	342	884
279	342	881
